Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","27p","C_0402_1005Metric",156.611000,-89.882000,180.000000,bottom
"C3","27p","C_0402_1005Metric",159.581000,-89.882000,0.000000,bottom
"C5","100n","C_0402_1005Metric",159.920511,-116.984489,180.000000,bottom
"C6","100n","C_0402_1005Metric",159.096000,-106.367000,-90.000000,bottom
"C7","100n","C_0402_1005Metric",161.596000,-92.397000,90.000000,bottom
"C8","1u","C_0402_1005Metric",163.096000,-105.367000,-90.000000,bottom
"C9","100n","C_0402_1005Metric",160.096000,-106.367000,-90.000000,bottom
"C10","1u","C_0402_1005Metric",164.096000,-105.367000,-90.000000,bottom
"C11","100n","C_0402_1005Metric",154.231000,-102.530000,180.000000,bottom
"C12","100n","C_0402_1005Metric",166.581000,-97.682000,0.000000,bottom
"C13","100n","C_0402_1005Metric",153.611000,-97.682000,180.000000,bottom
"C14","100n","C_0402_1005Metric",160.477000,-92.397000,90.000000,bottom
"C15","100n","C_0402_1005Metric",165.430000,-102.784000,0.000000,bottom
"C17","10u","C_0805_2012Metric",169.494000,-118.532000,90.000000,bottom
"R1","1k","C_0402_1005Metric",154.735511,-117.499489,-90.000000,bottom
"R2","DNF","C_0402_1005Metric",153.235511,-117.499489,90.000000,bottom
"R3","27","C_0402_1005Metric",161.096000,-105.367000,90.000000,bottom
"R4","27","C_0402_1005Metric",162.096000,-105.367000,90.000000,bottom
"R5","1k","C_0402_1005Metric",158.796000,-91.767000,90.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",156.785511,-112.539489,0.000000,bottom
"U3","RP2040","RP2040-QFN-56",160.096000,-98.882000,0.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_HC49-US",157.937000,-85.766000,0.000000,bottom
