Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47u","C_0805_2012Metric",170.100000,-121.650000,90.000000,top
"C2","30p","C_0402_1005Metric",162.720000,-91.000000,0.000000,top
"C3","30p","C_0402_1005Metric",160.720000,-91.200000,180.000000,top
"C4","2.2u","C_0402_1005Metric",160.500000,-118.200000,0.000000,top
"C5","100n","C_0402_1005Metric",160.500000,-117.270000,0.000000,top
"C6","100n","C_0402_1005Metric",161.020000,-107.810000,-90.000000,top
"C7","100n","C_0402_1005Metric",158.500000,-93.920000,90.000000,top
"C8","2.2u","C_0402_1005Metric",157.020000,-106.810000,-90.000000,top
"C9","100n","C_0402_1005Metric",160.020000,-107.810000,-90.000000,top
"C10","2.2u","C_0402_1005Metric",156.020000,-106.810000,-90.000000,top
"C11","100n","C_0402_1005Metric",165.300000,-103.800000,0.000000,top
"C12","100n","C_0402_1005Metric",154.215000,-99.100000,180.000000,top
"C13","100n","C_0402_1005Metric",165.715000,-99.200000,0.000000,top
"C14","100n","C_0402_1005Metric",159.600000,-93.920000,90.000000,top
"C15","100n","C_0402_1005Metric",154.880000,-103.400000,180.000000,top
"C16","27p","C_0402_1005Metric",182.700000,-105.255000,-90.000000,top
"C17","47u","C_0805_2012Metric",149.600000,-80.450000,90.000000,top
"C18","27p","C_0402_1005Metric",182.700000,-101.600000,-90.000000,top
"C20","100n","C_0402_1005Metric",154.880000,-104.400000,180.000000,top
"R1","1k","R_0402_1005Metric",166.500000,-117.730000,-90.000000,top
"R2","DNF","R_0402_1005Metric",167.800000,-117.730000,90.000000,top
"R3","22","R_0402_1005Metric",159.020000,-106.840000,90.000000,top
"R4","22","R_0402_1005Metric",158.020000,-106.820000,90.000000,top
"R5","470","R_0402_1005Metric",161.200000,-92.710000,90.000000,top
"R6","100","R_0402_1005Metric",182.700000,-93.980000,90.000000,top
"R7","1k","R_0402_1005Metric",182.700000,-98.300000,90.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",163.620000,-113.665000,90.000000,top
"U3","RP2040","RP2040-QFN-56",160.020000,-100.400000,180.000000,top
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_HC49-US",160.020000,-85.966000,180.000000,top
"Y2","X322516MLB4SI","OSC_X322516MLB4SI",160.260000,-87.600000,-45.000000,top
