Comment,Designator,Footprint,LCSC
"47u","C1,C17","Capacitor_SMD:C_0805_2012Metric",""
"27p","C16,C18","Capacitor_SMD:C_0402_1005Metric",""
"30p","C2,C3","Capacitor_SMD:C_0402_1005Metric",""
"2.2u","C4,C8,C10","Capacitor_SMD:C_0402_1005Metric",""
"100n","C5,C6,C7,C9,C11,C12,C13,C14,C15,C20","Capacitor_SMD:C_0402_1005Metric",""
"Conn_01x03","J1","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical",""
"Conn_01x02","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_01x02","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_02x03_Odd_Even","J4","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Conn_02x18_Odd_Even","JP1","RP2040_minimal:PinHeader_2x18_P2.54mm_Vertical_backside",""
"Conn_02x18_Odd_Even","JP2","RP2040_minimal:PinHeader_2x18_P2.54mm_Vertical_backside_pads15+17_removed",""
"1k","R1,R7","Resistor_SMD:R_0402_1005Metric",""
"DNF","R2","Resistor_SMD:R_0402_1005Metric",""
"22","R3,R4","Resistor_SMD:R_0402_1005Metric",""
"470","R5","Resistor_SMD:R_0402_1005Metric",""
"100","R6","Resistor_SMD:R_0402_1005Metric",""
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm",""
"RP2040","U3","RP2040_minimal:RP2040-QFN-56",""
"ABLS-12.000MHZ-B4-T","Y1","RP2040_minimal:Crystal_SMD_HC49-US",""
"X322516MLB4SI","Y2","X322516MLB4SI:OSC_X322516MLB4SI",""
